pmcid,table_id,table_label,table_caption,table_foot,n_header_rows,table_data_file
6535714,table2-1756286419843447,Table 2.,"Demographic, clinical and neuropsychological characteristics of all patients. Demographic, clinical, and neuropsychological characteristics of the total PD sample, cognitively normal (PD-N), mildly cognitively impaired (PD-MCI), demented patients (PD-D), and healthy controls. Data are given as mean ± standard deviation (min–max) except for sex.","†CERAD total score is the sum of six subscores‡and is sociodemographically corrected for normative data including age, education, and sex.15‡CERAD scores are given as z scores.*Unpaired two-sample Student’s t test for unequal variances for continuous variables and Chi-square test for categorical variables.+Kruskal–Wallis analysis of variance on ranks for PD-N, PD-MCI, PD-D and healthy controls for continuous variables and Chi-square test for categorical variables.CERAD, Consortium to Establish a Registry for Alzheimer’s Disease; F, female; LEDD, levodopa-equivalent daily dose; M, male; MMSE, mini mental state examination; NA, not available/not applicable; PANDA, Parkinson neuropsychometric dementia assessment;13 PD, Parkinson’s disease; PD-D, patients with PD-associated dementia; PD-MCI, mildly cognitively impaired PD patients; PD-N, patients with PD with normal cognition; UPDRS, unified Parkinson’s disease rating scale.",1,articles/7a1/pmcid_6535714/tables/table_001.csv
7363568,t0005,Table 1,Baseline sample characteristics.,NfL = Neurofilament light chain; EYO = estimated years from expected symptom onset; MMSE = Mini-Mental State Examination.,1,articles/a3c/pmcid_7363568/tables/table_000.csv
7363568,t0010,Table 2,Main effect of serum NfL on DTI metrics in MC.,"Unstandardized regression coefficient B and adjusted p-values for serum NfL from a series of linear mixed effect models in each ROI, which included random intercepts for family, and fixed effects for age, sex, and NfL. Dependent variables were the average WM metrics (FA, MD, DA, and DR) from each ROI. N = 117. WM = White matter; NfL = Neurofilament light chain; ROI = region of interest; SE = standard error.",2,articles/a3c/pmcid_7363568/tables/table_001.csv
11564857,tb1,Table 1.,Subject Characteristics,"Demographic details on the 44 participants of the present study. The subjects' employment rates, studies, and sick leave times vary from 0 to 100%, with a possible combination of these. The sports that the sports-related concussion (SRC) athletes were involved in are listed in declining order. As controls were commonly involved in multiple athletic activities, specific numbers are not listed. The Sport Concussion Assessment Tool 5th edition (SCAT5) has a maximum symptom severity score of 132 and a maximum number of symptoms of 22. Significantly different p values at ≤ 0.05 are shown in bold.SD, standard deviation and IQR, interquartile range.",1,articles/449/pmcid_11564857/tables/table_000.csv
11564857,tb2,Table 2.,Neuropsychology Performances,"Psychometric tests include results converted into Z-scores from age-related norms and raw scores. Number and percent of sports-related concussion (SRC) athletes deviating from norms refers to ±1.5 Z, and from test-specific cutoffs; HADS-A > 8, HADS-D >8, MFS >10.5, and LiSat-11 “not satisfied with life as a whole.” The presented p values represent differences in raw total scale-score between SRC athletes and controls.IQR, inter-quartile range. RBANS, Repeatable Battery for the Assessment of Neuropsychological Status (12 subtests organized into five index scores and a global score); d2, d2 test of attention; SDMT. Symbol Digit Modalities Test; Digit span - WAIS-IV, Wechsler Adult Intelligence Scale – fourth edition. Self-report measures are presented as raw scores and include HADS-A, The Hospital Anxiety and Depression Scale – anxiety; HADS-D, the Hospital Anxiety and Depression Scale – Depression; MFS, the Mental Fatigue Scale; LiSat-11, the 11-item Life Satisfaction questionnaire; BRIEF-A, the Behaviour Rating Inventory of Executive Function-Adult version with two index scores and a global score – includes raw scores and Z-scores.",2,articles/449/pmcid_11564857/tables/table_001.csv
11564857,tb3,Table 3.,Global WM Metric Values,"The diffusion values in medians and inter quartile ranges (IQR) for the sports-related concussion (SRC) athletes (diffusion tensor imaging [DTI] n = 20 and diffusion kurtosis imaging [DKI] n = 19) and controls (DTI n = 21 and DKI n = 20). The global white matter (WM) metric values and the p values of the group comparisons are presented for the investigated metrics. DTI metrics are fractional anisotropy (FA), mean diffusivity (MD), axial diffusivity (AD) and radial diffusivity (RD), and DKI metrics are FA, MD, AD, RD, mean kurtosis (MK), axial kurtosis (AK) and radial kurtosis (RK). Significant p values ≤0.05 are bolded.",1,articles/449/pmcid_11564857/tables/table_002.csv
11564857,tb4,Table 4.,Permutation Analysis,"Columns show the name of the magnetic resonance imaging (MRI) metric with diffusion tensor imaging (DTI) and diffusion kurtosis imaging (DKI). The permutation analysis includes 20 sports-related concussion (SRC) athletes and 21 controls for DTI, and 19 SRC athletes and 20 controls for DKI. DTI metrics are fractional anisotropy (FA), mean diffusivity (MD), axial diffusivity (AD), and radial diffusivity (RD), and DKI metrics are FA, MD, AD, RD, mean kurtosis (MK), axial kurtosis (AK), and radial kurtosis (RK). Three properties, the number of significant tracts (#T), p value from the permutation testing of the number of significant tracts expected under the null hypothesis, and the 95th percentile of the number of tracts that shows significant differences under the null hypothesis (i.e., the highest number of false positives expected), are shown for two different significance thresholds in the per-tract U tests, an alpha (ɑ) set to 0.05 and an ɑ set to 0.01. Significantly differing tracts are bolded: tracts with p values under the set ɑ and with number of differing tracts over the expected for the 95th percentile.",2,articles/449/pmcid_11564857/tables/table_003.csv
11564857,tb5,Table 5.,Correlation Analysis,"Spearman's correlation (rs) coefficient and p values for the correlations of neuropsychology tests (raw scores) and biomarkers with single white matter region of interest (WM ROI) values for the diffusion tensor imaging (DTI) and diffusion kurtosis imaging (DKI) metrics. Included metrics for correlations are fractional anisotropy (FA), mean diffusivity (MD), axial diffusivity (AD), and radial diffusivity (RD) for DTI, and FA, MD, AD, RD, mean kurtosis (MK), axial kurtosis (AK), and radial kurtosis (RK) for DKI. Included neuropsychology tests are the Repeatable Battery for the Assessment of Neuropsychological Status (RBANS), the d2 test of attention (d2), Symbol Digit Modalities Test (SDMT), the Behaviour Rating Inventory of Executive Function-Adult version (BRIEF-A) whole scale and working memory, and the Hospital Anxiety and Depression Scale (HADS) anxiety and depression. Biomarkers include neurofilament light (NfL) and glial fibrillary acidic protein (GFAP). There were no significant correlations between neuropsychology tests and DTI or DKI metrics; however, NfL correlated significantly with several DTI and DKI metrics, shown in bold. Included SRC athletes in the correlation analyses are for DTI; RBANS 20, SDMT 20, d2 20, Mental Fatigue Scale (MFS) 20, BRIEF whole scale 20, BRIEF working memory 20, HADS anxiety 20, HADS depression 20, NfL 15, and GFAP 15, and for DKI; RBANS 19, SDMT 19, d2 19, MFS 19, BRIEF whole scale 19, BRIEF working memory 19, HADS anxiety 19, HADS depression 19, NfL 14, and GFAP 14.",1,articles/449/pmcid_11564857/tables/table_004.csv
7267920,hbm24878-tbl-0001,Table 1,Review of articles that have performed diffusion MRI analysis on the substantia nigra pars compacta in Parkinson's disease,Abbreviations: ↑: Increase; ↓: Decrease; DTI: Diffusion Tensor Imaging; FA: Fractional Anisotropy; HC: Healthy Controls; MD: Mean Diffusivity; NM‐MRI: Neuromelanin Magnetic Resonance Imaging; NM‐T1: Neuromelanin sensitive T1; PD: Parkinson's disease; RD: Radial Diffusivity; ROI‐Region Of Interest; SNc: Substantia Nigra pars compacta; T1w: T1 weighted; T2w: T2 weighted.,1,articles/e61/pmcid_7267920/tables/table_000.csv
7267920,hbm24878-tbl-0002,Table 2,Demographic and clinical characteristics of patients with Parkinson's disease and healthy controls,"Abbreviations: F: Female; LEDD: Levodopa equivalent daily dose; M: Male; MMSE: Mini mental status examination; UPDRS: Unified Parkinson's disease rating scale, *: UPDRS III (OFF score) was available for 110 subjects.",1,articles/e61/pmcid_7267920/tables/table_001.csv
7267920,hbm24878-tbl-0003,Table 3,FDR corrected (p‐value = .05) results of independent t test for diffusion measures between healthy controls and patients with Parkinson's disease,"Abbreviations: AD: Axial diffusivity; ADL: AD of left SNc, ADR: AD of right SNc; FA: Fractional anisotropy; FAL: FA of left SNc; FAR: FA of right SNc; HC: Healthy controls; HCL: Left SNc of HC; HCR: Right SNc of HC; MD: Mean diffusivity; MDL: MD of left SNc; MDR: MD of right SNc; PD: Parkinson's disease; PDL: Left SNc of patients with PD, PDR: Right SNc of patients with PD; RD: Radial diffusivity; RDL: RD of left SNc, RDR: RD of right SNc; SD: Standard deviation; SNc: Substantia nigra pars compacta. ",2,articles/e61/pmcid_7267920/tables/table_002.csv
5683343,t0005,Table 1,Summary of ligand-based PET findings in DS and AD.,"Abbreviations: AD, Alzheimer's disease; DS, Down syndrome; FDDNP, 2-(1-{6-[(2-[fluorine-18]fluoroethyl)(methyl)amino]-2-naphthyl}-ethylidene)malononitrile; PiB, Pittsburgh compound B.",1,articles/422/pmcid_5683343/tables/table_000.csv
5683343,t0010,Table 2,Summary of MRI findings in DS and AD.,"Abbreviations: AD, Alzheimer's disease; CSF, cerebrospinal fluid; DS, Down syndrome; MRI, magnetic resonance imaging; PiB, Pittsburgh compound B.",1,articles/422/pmcid_5683343/tables/table_001.csv
5683343,t0015,Table 3,Summary of EEG findings in DS and AD.,"Abbreviations: AD, Alzheimer's disease; DS, Down syndrome; EEG, electroencephalography; EKG, electrocardiography; EMG, electromyography; EOG, electrooculography.",1,articles/422/pmcid_5683343/tables/table_002.csv
4361402,pone.0119714.t001,Table 1,Locations of the covariant FA changes for each IC spatial map in AD patients compared to HCs,,1,articles/81a/pmcid_4361402/tables/table_000.csv
4236070,pone-0112638-t001,Table 1,"Demographic and clinical data of control subjects and patients with PD, MSA and PSP.","*For patients taking levodopa drug treatment, scores given in the ‘on’ state.†From Parkinson’s Plus Scale (Cerebellar Score, maximum 24; Occulomotor Score, maximum 21).MSA = multiple systems atrophy; PSP = progressive supranuclear palsy; PD = Parkinson’s disease; MSA-P = multiple system atrophy parkinsonian variant; MSA-C = multiple system atrophy cerebellar variant; H&Y = Hoehn and Yahr; ADL = activities of daily living; UPDRS III = Unified Parkinson Disease Rating Scale–part III; MMSE = Mini Mental State Examination; DRS = Mattis Dementia Rating Scale.",1,articles/5d8/pmcid_4236070/tables/table_000.csv
